Id,ClaseMS,ZonificaciónMS,FrenteLote,ÁreaLote,Calle,Callejón,FormaLote,ContornoTerreno,Servicios,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,ÁreaPiscina,CalidadPiscina,Cerca,CaracterísticaMiscelánea,ValorMisceláneo,MesVenta,AñoVenta,TipoVenta,CondiciónVenta,PrecioVenta
11,20,Residencial baja densidad,70.0,11200,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,Sawyer,Normal,Normal,Unifamiliar,1 planta,5,5,1965,1965,A cuatro aguas,Teja compuesta,Tablero duro,Tablero duro,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,No,Rec,906,Unf,0,134,1040,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1040,0,0,1040,1,0,1,0,3,1,TA,5,Típico,0,,Independiente,1965.0,Sin terminar,1,384,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,,,0,2,2008,Escritura de garantía,Normal,129500
12,60,Residencial baja densidad,85.0,11924,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,NridgHt,Normal,Normal,Unifamiliar,2 plantas,9,5,2005,2006,A cuatro aguas,Teja compuesta,Tejas madera,Tejas madera,Piedra,286.0,Ex,TA,Hormigón vertido,Ex,TA,No,GLQ,998,Unf,0,177,1175,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Típico,2,Buena,Integrado,2005.0,Terminado,3,736,Típica/Aceptable,Típica/Aceptable,Sí,147,21,0,0,0,0,,,,0,7,2006,Nuevo,Parcial,345000
13,20,Residencial baja densidad,,12968,Pavimentada,,Irregular moderada,Nivelado,Todos los servicios públicos,Interior,Suave,Sawyer,Normal,Normal,Unifamiliar,1 planta,5,6,1962,1962,A cuatro aguas,Teja compuesta,Tablero duro,Contrachapado,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,No,ALQ,737,Unf,0,175,912,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,912,0,0,912,1,0,1,0,2,1,TA,4,Típico,0,,Independiente,1962.0,Sin terminar,1,352,Típica/Aceptable,Típica/Aceptable,Sí,140,0,0,0,176,0,,,,0,9,2008,Escritura de garantía,Normal,144000
14,20,Residencial baja densidad,91.0,10652,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,CollgCr,Normal,Normal,Unifamiliar,1 planta,7,5,2006,2007,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Piedra,306.0,Gd,TA,Hormigón vertido,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Típico,1,Buena,Adosado,2006.0,Terminación regular,3,840,Típica/Aceptable,Típica/Aceptable,Sí,160,33,0,0,0,0,,,,0,8,2007,Nuevo,Parcial,279500
15,20,Residencial baja densidad,,10920,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Esquina,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,6,5,1960,1960,A cuatro aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ladrillo a la vista,212.0,TA,TA,Bloque cemento,TA,TA,No,BLQ,733,Unf,0,520,1253,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1253,0,0,1253,1,0,1,1,2,1,TA,5,Típico,1,Regular,Adosado,1960.0,Terminación regular,1,352,Típica/Aceptable,Típica/Aceptable,Sí,0,213,176,0,0,0,,GdWo,,0,5,2008,Escritura de garantía,Normal,157000
16,45,Residencial media densidad,51.0,6120,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,BrkSide,Normal,Normal,Unifamiliar,1.5 planta sin terminar,7,8,1929,2001,A dos aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,TA,TA,Ladrillo-teja,TA,TA,No,Unf,0,Unf,0,832,832,Gas aire forzado,Excelente,Sí,Fusibles antiguos,854,0,0,854,0,0,1,0,2,1,TA,5,Típico,0,,Independiente,1991.0,Sin terminar,2,576,Típica/Aceptable,Típica/Aceptable,Sí,48,112,0,0,0,0,,GdPrv,,0,7,2007,Escritura de garantía,Normal,132000
17,20,Residencial baja densidad,,11241,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Cul-de-sac,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,6,7,1970,1970,A dos aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ladrillo a la vista,180.0,TA,TA,Bloque cemento,TA,TA,No,ALQ,578,Unf,0,426,1004,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1004,0,0,1004,1,0,1,0,2,1,TA,5,Típico,1,Típica/Aceptable,Adosado,1970.0,Terminado,2,480,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,,Shed,700,3,2010,Escritura de garantía,Normal,149000
18,90,Residencial baja densidad,72.0,10791,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,Sawyer,Normal,Normal,Dúplex,1 planta,4,5,1967,1967,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,TA,Losa,,,,,0,,0,0,0,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1296,0,0,1296,0,0,2,0,2,2,TA,6,Típico,0,,Cochera,1967.0,Sin terminar,2,516,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,,Shed,500,10,2006,Escritura de garantía,Normal,90000
19,20,Residencial baja densidad,66.0,13695,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,SawyerW,Cerca de vía de tren — empinada,Normal,Unifamiliar,1 planta,5,5,2004,2004,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ninguno,0.0,TA,TA,Hormigón vertido,TA,TA,No,GLQ,646,Unf,0,468,1114,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Típico,0,,Independiente,2004.0,Sin terminar,2,576,Típica/Aceptable,Típica/Aceptable,Sí,0,102,0,0,0,0,,,,0,6,2008,Escritura de garantía,Normal,159000
20,20,Residencial baja densidad,70.0,7560,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,5,6,1958,1965,A cuatro aguas,Teja compuesta,Ladrillo a la vista,Contrachapado,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,No,LwQ,504,Unf,0,525,1029,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1339,0,0,1339,0,0,1,0,3,1,TA,6,Mínimo 1,0,,Adosado,1958.0,Sin terminar,1,294,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,MnPrv,,0,5,2009,Ejecución hipotecaria,Anormal,139000
21,60,Residencial baja densidad,101.0,14215,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Esquina,Suave,NridgHt,Normal,Normal,Unifamiliar,2 plantas,8,5,2005,2006,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,380.0,Gd,TA,Hormigón vertido,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Típico,1,Buena,Integrado,2005.0,Terminación regular,3,853,Típica/Aceptable,Típica/Aceptable,Sí,240,154,0,0,0,0,,,,0,11,2006,Nuevo,Parcial,325300
22,45,Residencial media densidad,57.0,7449,Pavimentada,Grvl,Regular,Desnivelado,Todos los servicios públicos,Interior,Suave,IDOTRR,Normal,Normal,Unifamiliar,1.5 planta sin terminar,7,7,1930,1950,A dos aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,TA,TA,Hormigón vertido,TA,TA,No,Unf,0,Unf,0,637,637,Gas aire forzado,Excelente,Sí,Fusibles frecuentes,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Típico,1,Buena,Adosado,1930.0,Sin terminar,1,280,Típica/Aceptable,Típica/Aceptable,No,0,0,205,0,0,0,,GdPrv,,0,6,2007,Escritura de garantía,Normal,139400
23,20,Residencial baja densidad,75.0,9742,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,CollgCr,Normal,Normal,Unifamiliar,1 planta,8,5,2002,2002,A cuatro aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ladrillo a la vista,281.0,Gd,TA,Hormigón vertido,Gd,TA,No,Unf,0,Unf,0,1777,1777,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Típico,1,Buena,Adosado,2002.0,Terminación regular,2,534,Típica/Aceptable,Típica/Aceptable,Sí,171,159,0,0,0,0,,,,0,9,2008,Escritura de garantía,Normal,230000
24,120,Residencial media densidad,44.0,4224,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,MeadowV,Normal,Normal,Adosado (ext.),1 planta,5,7,1976,1976,A dos aguas,Teja compuesta,Cemento-fibra,Cemento-fibra,Ninguno,0.0,TA,TA,Hormigón vertido,Gd,TA,No,GLQ,840,Unf,0,200,1040,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1060,0,0,1060,1,0,1,0,3,1,TA,6,Típico,1,Típica/Aceptable,Adosado,1976.0,Sin terminar,2,572,Típica/Aceptable,Típica/Aceptable,Sí,100,110,0,0,0,0,,,,0,6,2007,Escritura de garantía,Normal,129900
25,20,Residencial baja densidad,,8246,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,Sawyer,Normal,Normal,Unifamiliar,1 planta,5,8,1968,2001,A dos aguas,Teja compuesta,Contrachapado,Contrachapado,Ninguno,0.0,TA,Gd,Bloque cemento,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Típico,1,Típica/Aceptable,Adosado,1968.0,Sin terminar,1,270,Típica/Aceptable,Típica/Aceptable,Sí,406,90,0,0,0,0,,MnPrv,,0,5,2010,Escritura de garantía,Normal,154000
26,20,Residencial baja densidad,110.0,14230,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,NridgHt,Normal,Normal,Unifamiliar,1 planta,8,5,2007,2007,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Piedra,640.0,Gd,TA,Hormigón vertido,Gd,TA,No,Unf,0,Unf,0,1566,1566,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Típico,1,Buena,Adosado,2007.0,Terminación regular,3,890,Típica/Aceptable,Típica/Aceptable,Sí,0,56,0,0,0,0,,,,0,7,2009,Escritura de garantía,Normal,256300
27,20,Residencial baja densidad,60.0,7200,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,5,7,1951,2000,A dos aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,Mn,BLQ,234,Rec,486,180,900,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,900,0,0,900,0,1,1,0,3,1,Gd,5,Típico,0,,Independiente,2005.0,Sin terminar,2,576,Típica/Aceptable,Típica/Aceptable,Sí,222,32,0,0,0,0,,,,0,5,2010,Escritura de garantía,Normal,134800
28,20,Residencial baja densidad,98.0,11478,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,NridgHt,Normal,Normal,Unifamiliar,1 planta,8,5,2007,2008,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Piedra,200.0,Gd,TA,Hormigón vertido,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Típico,1,Buena,Adosado,2008.0,Terminación regular,3,772,Típica/Aceptable,Típica/Aceptable,Sí,0,50,0,0,0,0,,,,0,5,2010,Escritura de garantía,Normal,306000
29,20,Residencial baja densidad,47.0,16321,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Cul-de-sac,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,5,6,1957,1997,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,Gas aire forzado,Típica/Aceptable,Sí,Disyuntores estándar,1600,0,0,1600,1,0,1,0,2,1,TA,6,Típico,2,Buena,Adosado,1957.0,Terminación regular,1,319,Típica/Aceptable,Típica/Aceptable,Sí,288,258,0,0,0,0,,,,0,12,2006,Escritura de garantía,Normal,207500
30,30,Residencial media densidad,60.0,6324,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,BrkSide,Calle alimentadora,Vía tren - normal,Unifamiliar,1 planta,4,6,1927,1950,A dos aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ninguno,0.0,TA,TA,Ladrillo-teja,TA,TA,No,Unf,0,Unf,0,520,520,Gas aire forzado,Regular,No,Disyuntores estándar,520,0,0,520,0,0,1,0,1,1,Fa,4,Típico,0,,Independiente,1920.0,Sin terminar,1,240,Regular,Típica/Aceptable,Sí,49,0,87,0,0,0,,,,0,5,2008,Escritura de garantía,Normal,68500
31,70,Comercial,50.0,8500,Pavimentada,Pave,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,IDOTRR,Calle alimentadora,Normal,Unifamiliar,2 plantas,4,4,1920,1950,Holandés,Teja compuesta,Ladrillo a la vista,Ladrillo a la vista,Ninguno,0.0,TA,Fa,Ladrillo-teja,TA,TA,No,Unf,0,Unf,0,649,649,Gas aire forzado,Típica/Aceptable,No,Disyuntores estándar,649,668,0,1317,0,0,1,0,3,1,TA,6,Típico,0,,Independiente,1920.0,Sin terminar,1,250,Típica/Aceptable,Regular,No,0,54,172,0,0,0,,MnPrv,,0,7,2008,Escritura de garantía,Normal,40000
32,20,Residencial baja densidad,,8544,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Cul-de-sac,Suave,Sawyer,Normal,Normal,Unifamiliar,1 planta,5,6,1966,2006,A dos aguas,Teja compuesta,Tablero duro,Tablero duro,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,No,Unf,0,Unf,0,1228,1228,Gas aire forzado,Buena,Sí,Disyuntores estándar,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Típico,0,,Adosado,1966.0,Sin terminar,1,271,Típica/Aceptable,Típica/Aceptable,Sí,0,65,0,0,0,0,,MnPrv,,0,6,2008,Escritura de garantía,Normal,149350
33,20,Residencial baja densidad,85.0,11049,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,CollgCr,Normal,Normal,Unifamiliar,1 planta,8,5,2007,2007,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ninguno,0.0,Gd,TA,Hormigón vertido,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Típico,0,,Adosado,2007.0,Terminación regular,2,484,Típica/Aceptable,Típica/Aceptable,Sí,0,30,0,0,0,0,,,,0,1,2008,Escritura de garantía,Normal,179900
34,20,Residencial baja densidad,70.0,10552,Pavimentada,,Irregular leve,Nivelado,Todos los servicios públicos,Interior,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,5,5,1959,1959,A cuatro aguas,Teja compuesta,Ladrillo a la vista,Ladrillo a la vista,Ninguno,0.0,TA,TA,Bloque cemento,TA,TA,No,Rec,1018,Unf,0,380,1398,Gas aire forzado,Buena,Sí,Disyuntores estándar,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Típico,1,Buena,Adosado,1959.0,Terminación regular,2,447,Típica/Aceptable,Típica/Aceptable,Sí,0,38,0,0,0,0,,,,0,4,2010,Escritura de garantía,Normal,165500
35,120,Residencial baja densidad,60.0,7313,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,NridgHt,Normal,Normal,Adosado (ext.),1 planta,9,5,2005,2005,A cuatro aguas,Teja compuesta,Revestimiento metal,Revestimiento metal,Ladrillo a la vista,246.0,Ex,TA,Hormigón vertido,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Típico,1,Buena,Adosado,2005.0,Terminado,2,556,Típica/Aceptable,Típica/Aceptable,Sí,203,47,0,0,0,0,,,,0,8,2007,Escritura de garantía,Normal,277500
36,60,Residencial baja densidad,108.0,13418,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,NridgHt,Normal,Normal,Unifamiliar,2 plantas,8,5,2004,2005,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Piedra,132.0,Gd,TA,Hormigón vertido,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Típico,1,Buena,Integrado,2004.0,Terminado,3,691,Típica/Aceptable,Típica/Aceptable,Sí,113,32,0,0,0,0,,,,0,9,2006,Escritura de garantía,Normal,309000
37,20,Residencial baja densidad,112.0,10859,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Esquina,Suave,CollgCr,Normal,Normal,Unifamiliar,1 planta,5,5,1994,1995,A dos aguas,Teja compuesta,Revestimiento vinilo,Revestimiento vinilo,Ninguno,0.0,TA,TA,Hormigón vertido,Gd,TA,No,Unf,0,Unf,0,1097,1097,Gas aire forzado,Excelente,Sí,Disyuntores estándar,1097,0,0,1097,0,0,1,1,3,1,TA,6,Típico,0,,Adosado,1995.0,Sin terminar,2,672,Típica/Aceptable,Típica/Aceptable,Sí,392,64,0,0,0,0,,,,0,6,2009,Escritura de garantía,Normal,145000
38,20,Residencial baja densidad,74.0,8532,Pavimentada,,Regular,Nivelado,Todos los servicios públicos,Interior,Suave,NAmes,Normal,Normal,Unifamiliar,1 planta,5,6,1954,1990,A cuatro aguas,Teja compuesta,Revestimiento madera,Revestimiento madera,Ladrillo a la vista,650.0,TA,TA,Bloque cemento,TA,TA,No,Rec,1213,Unf,0,84,1297,Gas aire forzado,Buena,Sí,Disyuntores estándar,1297,0,0,1297,0,1,1,0,3,1,TA,5,Típico,1,Típica/Aceptable,Adosado,1954.0,Terminado,2,498,Típica/Aceptable,Típica/Aceptable,Sí,0,0,0,0,0,0,,,,0,10,2009,Escritura de garantía,Normal,153000
